2026-09-06 11:50:32 [66ec1b8] 13180kb (99.0%) ████████████████████
2026-09-06 11:55:22 [54c7a3c] 13175kb (99.0%) ████████████████████
2026-09-06 11:59:20 [54c7a3c] 13146kb (98.8%) ████████████████████
2026-09-06 12:08:18 [9d433b2] 13192kb (99.1%) ████████████████████
2026-09-06 12:33:22 [9d433b2] 13141kb (98.7%) ████████████████████
2026-09-06 13:06:12 [2dc312c] 13145kb (98.7%) ████████████████████
2026-09-06 14:37:39 [dedd407] 13375kb (100.5%) ████████████████████
2026-09-06 14:37:58 [dedd407] 13262kb (99.6%) ████████████████████
2026-09-06 14:39:51 [dedd407] 13391kb (100.6%) ████████████████████
2026-09-06 14:43:41 [dedd407] 13382kb (100.5%) ████████████████████
2026-09-06 14:55:32 [dedd407] 13234kb (99.4%) ████████████████████
2026-09-06 20:08:43 [69944a9] 13041kb (98.0%) ████████████████████
2026-09-06 20:34:27 [96ce395] 13042kb (98.0%) ████████████████████
2026-09-06 20:36:58 [96ce395] 13025kb (97.8%) ████████████████████
2026-09-06 20:37:42 [96ce395] 13025kb (97.8%) ████████████████████
2026-09-06 20:39:31 [96ce395] 13027kb (97.9%) ████████████████████
2026-09-06 20:39:41 [96ce395] 13027kb (97.9%) ████████████████████
2026-09-06 20:41:10 [96ce395] 13036kb (97.9%) ████████████████████
2026-09-06 20:42:16 [96ce395] 13036kb (97.9%) ████████████████████
2026-09-06 20:44:48 [96ce395] 13037kb (97.9%) ████████████████████
2026-09-06 20:47:33 [96ce395] 13035kb (97.9%) ████████████████████
2026-09-07 07:55:30 [96ce395] 13036kb (97.9%) ████████████████████
2026-09-07 08:02:23 [96ce395] 13036kb (97.9%) ████████████████████
2026-09-07 09:18:45 [3d7fdf6] 13093kb (98.4%) ████████████████████
2026-09-07 14:28:03 [53a3154] 13166kb (98.9%) ████████████████████
2026-09-07 14:38:47 [bf7da47] 13133kb (98.7%) ████████████████████
2026-09-07 18:07:16 [3db8b6d] 13308kb (100.0%) ████████████████████
2026-09-07 18:07:42 [3db8b6d] 13295kb (99.9%) ████████████████████
2026-09-07 18:08:23 [3db8b6d] 13248kb (99.5%) ████████████████████
2026-09-07 18:12:45 [3db8b6d] 13191kb (99.1%) ████████████████████
